method,beta,pr,pr_p05,pr_p95,far,gev_xi
"primary (β=0.726, ERA5 obs)",0.7259558292298716,4.032813026895255,2.432172879842575,15.375663253940614,0.7520341277091462,-0.20749690449707242
"sens (β=0.935, CMIP6 tas)",0.9351953970923714,6.3272440468142666,3.3340655894308453,35.30723562944074,0.8419533065895419,-0.21659963354641026
"sens (β fitted, data-driven)",1.3985157860125317,18.730675714265807,5.4696023394913995,154.23445866584828,0.9466116431006079,-0.23554091887828082
WWA FWI (van Oldenborgh 2021),,4.0,4.0,,0.75,
