method,beta,pr,pr_p05,pr_p95,far,gev_xi
primary (CC 7%/°C × α=0.289),0.019532172251960193,1.1120638202214503,1.054724474508892,1.2990344981780013,0.10077103326599957,0.08366781139116478
sens (CC 7%/°C × α=0.882 CMIP6),0.059707441734822765,1.3851392317128604,1.1691883072210008,2.2644027471863972,0.2780509156733637,0.08143361526466962
sens (CC 14%/°C × α=0.289),0.037826155989317614,1.2338580278028441,1.1170686485527705,1.6740742859659095,0.18953398408346855,0.08257433874498615
"sens (β fitted, ENSO-contaminated)",0.28300743884332563,4.782626259402077,1.398301851870431,32.43892823704179,0.7909098587759982,0.0801302626383929
