model,trend_global,trend_qld,amplification
ACCESS-CM2,0.6171973398288797,0.2247031251423202,0.3640701452223044
ACCESS-ESM1-5,0.6620968132192693,0.927525444995114,1.400890967115925
ERA5_observed,0.019518,0.005635,0.288687
