model,trend_global,trend_au,amplification
ACCESS-CM2,0.6171973398288797,0.6355803627144548,1.029784676146971
ACCESS-ESM1-5,0.6620968132192693,0.5565626319254297,0.8406061180377719
ERA5_observed,0.0195182782881208,0.0141694078997921,0.7259558292298716
