scenario,label,damages_usd_b,pr,far,far_p05,far_p95,cm_coverage_share,total_attributed_usd_b
conservative,"Insured losses (ICA), AUD 2.32B",1.6007999999999998,4.032813026895255,0.7520341277091462,0.5888450144751657,0.9349621295500496,0.536159832343987,0.6454593553206511
central,"Direct economic, AUD 10B",6.8999999999999995,4.032813026895255,0.7520341277091462,0.5888450144751657,0.9349621295500496,0.536159832343987,2.782152393623497
comprehensive,"Total social cost, AUD 103B",71.07,4.032813026895255,0.7520341277091462,0.5888450144751657,0.9349621295500496,0.536159832343987,28.656169654322017
